"","plot","species","size","group","method","elev"
"1402","WmB1","Euthystira brachyptera",20.5,"grasshoppers","transect walks",962
"1403","WmB3","Euthystira brachyptera",20.5,"grasshoppers","transect walks",1418
"1404","T4","Chrysochraon dispar",25,"grasshoppers","transect walks",644
"1405","T5","Chrysochraon dispar",25,"grasshoppers","transect walks",749
"1406","H1","Psophus stridulus",33,"grasshoppers","transect walks",818
"1407","H2","Psophus stridulus",33,"grasshoppers","transect walks",985
"1408","H3","Psophus stridulus",33,"grasshoppers","transect walks",1106
"1409","T1","Psophus stridulus",33,"grasshoppers","transect walks",716
"1410","W1","Psophus stridulus",33,"grasshoppers","transect walks",815
"1411","W2","Psophus stridulus",33,"grasshoppers","transect walks",1016
"1412","W4","Psophus stridulus",33,"grasshoppers","transect walks",1235
"1413","H1","Mecostethus parapleurus",28,"grasshoppers","transect walks",818
"1414","H2","Mecostethus parapleurus",28,"grasshoppers","transect walks",985
"1415","H3","Mecostethus parapleurus",28,"grasshoppers","transect walks",1106
"1416","H4","Mecostethus parapleurus",28,"grasshoppers","transect walks",1326
"1417","H5","Mecostethus parapleurus",28,"grasshoppers","transect walks",1580
"1418","H6","Mecostethus parapleurus",28,"grasshoppers","transect walks",1807
"1419","HO2","Mecostethus parapleurus",28,"grasshoppers","transect walks",1046
"1420","HO3","Mecostethus parapleurus",28,"grasshoppers","transect walks",1332
"1421","HO4","Mecostethus parapleurus",28,"grasshoppers","transect walks",1546
"1422","T1","Mecostethus parapleurus",28,"grasshoppers","transect walks",716
"1423","T4","Mecostethus parapleurus",28,"grasshoppers","transect walks",644
"1424","T5","Mecostethus parapleurus",28,"grasshoppers","transect walks",749
"1425","W1","Mecostethus parapleurus",28,"grasshoppers","transect walks",815
"1426","W2","Mecostethus parapleurus",28,"grasshoppers","transect walks",1016
"1427","W3","Mecostethus parapleurus",28,"grasshoppers","transect walks",1162
"1428","W4","Mecostethus parapleurus",28,"grasshoppers","transect walks",1235
"1429","W5","Mecostethus parapleurus",28,"grasshoppers","transect walks",1446
"1430","W6","Mecostethus parapleurus",28,"grasshoppers","transect walks",1805
"1431","W7","Mecostethus parapleurus",28,"grasshoppers","transect walks",2017
"1432","WmA2","Mecostethus parapleurus",28,"grasshoppers","transect walks",1240
"1433","WmA4","Mecostethus parapleurus",28,"grasshoppers","transect walks",1770
"1434","WmB1","Mecostethus parapleurus",28,"grasshoppers","transect walks",962
"1435","WmB2","Mecostethus parapleurus",28,"grasshoppers","transect walks",1139
"1436","WmB3","Mecostethus parapleurus",28,"grasshoppers","transect walks",1418
"1437","H3","Stethophyma grossum",32,"grasshoppers","transect walks",1106
"1438","WmB3","Stethophyma grossum",32,"grasshoppers","transect walks",1418
"1439","H3","Miramella alpina",24.5,"grasshoppers","transect walks",1106
"1440","H4","Miramella alpina",24.5,"grasshoppers","transect walks",1326
"1441","H5","Miramella alpina",24.5,"grasshoppers","transect walks",1580
"1442","H6","Miramella alpina",24.5,"grasshoppers","transect walks",1807
"1443","W2","Miramella alpina",24.5,"grasshoppers","transect walks",1016
"1444","WmB3","Miramella alpina",24.5,"grasshoppers","transect walks",1418
"1445","WmB4","Miramella alpina",24.5,"grasshoppers","transect walks",1654
"1446","HO3","Podisma pedestris",27,"grasshoppers","transect walks",1332
"1447","W1","Podisma pedestris",27,"grasshoppers","transect walks",815
"1448","W2","Podisma pedestris",27,"grasshoppers","transect walks",1016
"1449","W4","Podisma pedestris",27,"grasshoppers","transect walks",1235
"1450","W5","Podisma pedestris",27,"grasshoppers","transect walks",1446
"1451","WmB2","Podisma pedestris",27,"grasshoppers","transect walks",1139
"1452","H1","Tetrix tenuicornis",9.45,"grasshoppers","transect walks",818
"1453","H2","Tetrix tenuicornis",9.45,"grasshoppers","transect walks",985
"1454","H3","Tetrix tenuicornis",9.45,"grasshoppers","transect walks",1106
"1455","T4","Tetrix tenuicornis",9.45,"grasshoppers","transect walks",644
"1456","T5","Tetrix tenuicornis",9.45,"grasshoppers","transect walks",749
"1457","W1","Tetrix tenuicornis",9.45,"grasshoppers","transect walks",815
"1458","H2","Tetrix kraussi",10.6,"grasshoppers","transect walks",985
"1459","H3","Tetrix kraussi",10.6,"grasshoppers","transect walks",1106
"1460","HO2","Tetrix kraussi",10.6,"grasshoppers","transect walks",1046
"1461","HO4","Tetrix kraussi",10.6,"grasshoppers","transect walks",1546
"1462","W1","Tetrix kraussi",10.6,"grasshoppers","transect walks",815
"1463","W3","Tetrix kraussi",10.6,"grasshoppers","transect walks",1162
"1464","W4","Tetrix kraussi",10.6,"grasshoppers","transect walks",1235
"1465","W5","Tetrix kraussi",10.6,"grasshoppers","transect walks",1446
"1466","W6","Tetrix kraussi",10.6,"grasshoppers","transect walks",1805
"1467","WmA2","Tetrix kraussi",10.6,"grasshoppers","transect walks",1240
"1468","WmB2","Tetrix kraussi",10.6,"grasshoppers","transect walks",1139
"1469","WmB3","Tetrix kraussi",10.6,"grasshoppers","transect walks",1418
"1470","H3","Tetrix bipunctata",10.6,"grasshoppers","transect walks",1106
"1471","H5","Tetrix bipunctata",10.6,"grasshoppers","transect walks",1580
"1472","H6","Tetrix bipunctata",10.6,"grasshoppers","transect walks",1807
"1473","HO2","Tetrix bipunctata",10.6,"grasshoppers","transect walks",1046
"1474","HO4","Tetrix bipunctata",10.6,"grasshoppers","transect walks",1546
"1475","T1","Tetrix bipunctata",10.6,"grasshoppers","transect walks",716
"1476","T4","Tetrix bipunctata",10.6,"grasshoppers","transect walks",644
"1477","W4","Tetrix bipunctata",10.6,"grasshoppers","transect walks",1235
"1478","W5","Tetrix bipunctata",10.6,"grasshoppers","transect walks",1446
"1479","WmB1","Tetrix bipunctata",10.6,"grasshoppers","transect walks",962
"1480","HO1","Tetrix subulata",12.95,"grasshoppers","transect walks",828
"1481","HO2","Tetrix subulata",12.95,"grasshoppers","transect walks",1046
"1482","HO3","Tetrix subulata",12.95,"grasshoppers","transect walks",1332
"1483","T4","Tetrix subulata",12.95,"grasshoppers","transect walks",644
"1484","T5","Tetrix subulata",12.95,"grasshoppers","transect walks",749
"1485","WmA2","Tetrix subulata",12.95,"grasshoppers","transect walks",1240
"1486","WmB1","Tetrix subulata",12.95,"grasshoppers","transect walks",962
"1487","WmB2","Tetrix subulata",12.95,"grasshoppers","transect walks",1139
"1488","T1","Gryllus campestris",23,"grasshoppers","transect walks",716
"1489","T4","Gryllus campestris",23,"grasshoppers","transect walks",644
"1490","HO2","Gryllotalpa gryllotalpa",43.5,"grasshoppers","transect walks",1046
"1491","T4","Gryllotalpa gryllotalpa",43.5,"grasshoppers","transect walks",644
"1492","H1","Tettigonia cantans",31,"grasshoppers","transect walks",818
"1493","H2","Tettigonia cantans",31,"grasshoppers","transect walks",985
"1494","H3","Tettigonia cantans",31,"grasshoppers","transect walks",1106
"1495","H4","Tettigonia cantans",31,"grasshoppers","transect walks",1326
"1496","HO1","Tettigonia cantans",31,"grasshoppers","transect walks",828
"1497","T1","Tettigonia cantans",31,"grasshoppers","transect walks",716
"1498","T4","Tettigonia cantans",31,"grasshoppers","transect walks",644
"1499","T5","Tettigonia cantans",31,"grasshoppers","transect walks",749
"1500","W1","Tettigonia cantans",31,"grasshoppers","transect walks",815
"1501","WmB1","Tettigonia cantans",31,"grasshoppers","transect walks",962
"1502","WmB2","Tettigonia cantans",31,"grasshoppers","transect walks",1139
"1503","H1","Pholidoptera aptera",23,"grasshoppers","transect walks",818
"1504","H2","Pholidoptera aptera",23,"grasshoppers","transect walks",985
"1505","H3","Pholidoptera aptera",23,"grasshoppers","transect walks",1106
"1506","H4","Pholidoptera aptera",23,"grasshoppers","transect walks",1326
"1507","HO1","Pholidoptera aptera",23,"grasshoppers","transect walks",828
"1508","HO2","Pholidoptera aptera",23,"grasshoppers","transect walks",1046
"1509","HO3","Pholidoptera aptera",23,"grasshoppers","transect walks",1332
"1510","HO4","Pholidoptera aptera",23,"grasshoppers","transect walks",1546
"1511","T1","Pholidoptera aptera",23,"grasshoppers","transect walks",716
"1512","T4","Pholidoptera aptera",23,"grasshoppers","transect walks",644
"1513","T5","Pholidoptera aptera",23,"grasshoppers","transect walks",749
"1514","W1","Pholidoptera aptera",23,"grasshoppers","transect walks",815
"1515","W2","Pholidoptera aptera",23,"grasshoppers","transect walks",1016
"1516","W3","Pholidoptera aptera",23,"grasshoppers","transect walks",1162
"1517","W4","Pholidoptera aptera",23,"grasshoppers","transect walks",1235
"1518","WmA2","Pholidoptera aptera",23,"grasshoppers","transect walks",1240
"1519","WmA3","Pholidoptera aptera",23,"grasshoppers","transect walks",1423
"1520","WmB1","Pholidoptera aptera",23,"grasshoppers","transect walks",962
"1521","WmB2","Pholidoptera aptera",23,"grasshoppers","transect walks",1139
"1522","WmB3","Pholidoptera aptera",23,"grasshoppers","transect walks",1418
"1523","WmB4","Pholidoptera aptera",23,"grasshoppers","transect walks",1654
"1524","WmB5","Pholidoptera aptera",23,"grasshoppers","transect walks",1812
"1525","H1","Pholidoptera griseoaptera",18,"grasshoppers","transect walks",818
"1526","H2","Pholidoptera griseoaptera",18,"grasshoppers","transect walks",985
"1527","HO1","Pholidoptera griseoaptera",18,"grasshoppers","transect walks",828
"1528","HO2","Pholidoptera griseoaptera",18,"grasshoppers","transect walks",1046
"1529","T1","Pholidoptera griseoaptera",18,"grasshoppers","transect walks",716
"1530","T4","Pholidoptera griseoaptera",18,"grasshoppers","transect walks",644
"1531","T5","Pholidoptera griseoaptera",18,"grasshoppers","transect walks",749
"1532","W1","Pholidoptera griseoaptera",18,"grasshoppers","transect walks",815
"1533","WmA2","Pholidoptera griseoaptera",18,"grasshoppers","transect walks",1240
"1534","WmB1","Pholidoptera griseoaptera",18,"grasshoppers","transect walks",962
"1535","WmB2","Pholidoptera griseoaptera",18,"grasshoppers","transect walks",1139
"1536","WmB3","Pholidoptera griseoaptera",18,"grasshoppers","transect walks",1418
"1537","H1","Metrioptera brachyptera",19,"grasshoppers","transect walks",818
"1538","H3","Metrioptera brachyptera",19,"grasshoppers","transect walks",1106
"1539","H4","Metrioptera brachyptera",19,"grasshoppers","transect walks",1326
"1540","H6","Metrioptera brachyptera",19,"grasshoppers","transect walks",1807
"1541","W2","Metrioptera brachyptera",19,"grasshoppers","transect walks",1016
"1542","WmB1","Metrioptera brachyptera",19,"grasshoppers","transect walks",962
"1543","WmB2","Metrioptera brachyptera",19,"grasshoppers","transect walks",1139
"1544","H1","Roeseliana roeselii",17.75,"grasshoppers","transect walks",818
"1545","H2","Roeseliana roeselii",17.75,"grasshoppers","transect walks",985
"1546","H3","Roeseliana roeselii",17.75,"grasshoppers","transect walks",1106
"1547","H4","Roeseliana roeselii",17.75,"grasshoppers","transect walks",1326
"1548","HO1","Roeseliana roeselii",17.75,"grasshoppers","transect walks",828
"1549","HO2","Roeseliana roeselii",17.75,"grasshoppers","transect walks",1046
"1550","HO3","Roeseliana roeselii",17.75,"grasshoppers","transect walks",1332
"1551","T1","Roeseliana roeselii",17.75,"grasshoppers","transect walks",716
"1552","T4","Roeseliana roeselii",17.75,"grasshoppers","transect walks",644
"1553","T5","Roeseliana roeselii",17.75,"grasshoppers","transect walks",749
"1554","W1","Roeseliana roeselii",17.75,"grasshoppers","transect walks",815
"1555","W2","Roeseliana roeselii",17.75,"grasshoppers","transect walks",1016
"1556","W3","Roeseliana roeselii",17.75,"grasshoppers","transect walks",1162
"1557","W4","Roeseliana roeselii",17.75,"grasshoppers","transect walks",1235
"1558","W7","Roeseliana roeselii",17.75,"grasshoppers","transect walks",2017
"1559","WmA2","Roeseliana roeselii",17.75,"grasshoppers","transect walks",1240
"1560","WmA3","Roeseliana roeselii",17.75,"grasshoppers","transect walks",1423
"1561","WmB1","Roeseliana roeselii",17.75,"grasshoppers","transect walks",962
"1562","WmB2","Roeseliana roeselii",17.75,"grasshoppers","transect walks",1139
"1563","WmB3","Roeseliana roeselii",17.75,"grasshoppers","transect walks",1418
"1564","WmB5","Roeseliana roeselii",17.75,"grasshoppers","transect walks",1812
"1565","H1","Decticus verrucivorus",35.5,"grasshoppers","transect walks",818
"1566","H2","Decticus verrucivorus",35.5,"grasshoppers","transect walks",985
"1567","H3","Decticus verrucivorus",35.5,"grasshoppers","transect walks",1106
"1568","T1","Decticus verrucivorus",35.5,"grasshoppers","transect walks",716
"1569","T4","Decticus verrucivorus",35.5,"grasshoppers","transect walks",644
"1570","T4","Barbitistes constrictus",24,"grasshoppers","transect walks",644
"1571","H1","Barbitistes serricauda",20.5,"grasshoppers","transect walks",818
"1572","H2","Barbitistes serricauda",20.5,"grasshoppers","transect walks",985
"1573","H3","Barbitistes serricauda",20.5,"grasshoppers","transect walks",1106
"1574","W1","Barbitistes serricauda",20.5,"grasshoppers","transect walks",815
"1575","W2","Barbitistes serricauda",20.5,"grasshoppers","transect walks",1016
"1576","WmA2","Barbitistes serricauda",20.5,"grasshoppers","transect walks",1240
"1577","WmA3","Barbitistes serricauda",20.5,"grasshoppers","transect walks",1423
"1578","WmB1","Barbitistes serricauda",20.5,"grasshoppers","transect walks",962
"1579","WmB2","Barbitistes serricauda",20.5,"grasshoppers","transect walks",1139
"1580","T1","Meconema meridionale",13.75,"grasshoppers","transect walks",716
"1581","H1","Meconema thalassinum",13,"grasshoppers","transect walks",818
"1582","T1","Meconema thalassinum",13,"grasshoppers","transect walks",716
"1583","T4","Meconema thalassinum",13,"grasshoppers","transect walks",644
"1584","T5","Tetrix undulata",9.9,"grasshoppers","transect walks",749
"1585","W5","Aglais urticae",24,"butterflies","malaise traps",1446
"1586","H3","Andrena bicolor",9.5,"wild bees","malaise traps",1106
"1587","T4","Andrena bicolor",9.5,"wild bees","malaise traps",644
"1588","T4","Andrena carantonica",13,"wild bees","malaise traps",644
"1589","T1","Andrena chrysosceles",9.5,"wild bees","malaise traps",716
"1590","H3","Andrena cineraria",14,"wild bees","malaise traps",1106
"1591","WmB3","Andrena fucata",11.5,"wild bees","malaise traps",1418
"1592","T4","Andrena fulvago",10.5,"wild bees","malaise traps",644
"1593","H3","Andrena humilis",11,"wild bees","malaise traps",1106
"1594","H1","Andrena intermedia",11.5,"wild bees","malaise traps",818
"1595","T1","Andrena intermedia",11.5,"wild bees","malaise traps",716
"1596","WmB5","Andrena intermedia",11.5,"wild bees","malaise traps",1812
"1597","T1","Andrena minutula",6,"wild bees","malaise traps",716
"1598","T1","Andrena proxima",10,"wild bees","malaise traps",716
"1599","T1","Andrena semilaevis",6.5,"wild bees","malaise traps",716
"1600","H2","Andrena subopaca",7,"wild bees","malaise traps",985
"1601","T5","Andrena subopaca",7,"wild bees","malaise traps",749
"1602","T1","Andrena viridescens",7,"wild bees","malaise traps",716
"1603","T1","Andrena wilkella",11.5,"wild bees","malaise traps",716
"1604","H1","Anthidiellum strigatum",6.5,"wild bees","malaise traps",818
"1605","H2","Anthidiellum strigatum",6.5,"wild bees","malaise traps",985
"1606","H3","Anthocharis cardamines",21.5,"butterflies","malaise traps",1106
"1607","W3","Anthocharis cardamines",21.5,"butterflies","malaise traps",1162
"1608","W4","Anthocharis cardamines",21.5,"butterflies","malaise traps",1235
"1609","WmA2","Anthocharis cardamines",21.5,"butterflies","malaise traps",1240
"1610","H2","Anthophora furcata",11.5,"wild bees","malaise traps",985
"1611","H3","Anthophora furcata",11.5,"wild bees","malaise traps",1106
"1612","HO4","Anthophora furcata",11.5,"wild bees","malaise traps",1546
"1613","T4","Anthophora furcata",11.5,"wild bees","malaise traps",644
"1614","W3","Anthophora furcata",11.5,"wild bees","malaise traps",1162
"1615","W5","Anthophora furcata",11.5,"wild bees","malaise traps",1446
"1616","WmB2","Anthophora furcata",11.5,"wild bees","malaise traps",1139
"1617","W1","Anthophora quadrimaculata",11,"wild bees","malaise traps",815
"1618","HO2","Aphantopus hyperantus",22,"butterflies","malaise traps",1046
"1619","HO3","Aphantopus hyperantus",22,"butterflies","malaise traps",1332
"1620","HO4","Aphantopus hyperantus",22,"butterflies","malaise traps",1546
"1621","T1","Aphantopus hyperantus",22,"butterflies","malaise traps",716
"1622","T4","Aphantopus hyperantus",22,"butterflies","malaise traps",644
"1623","T5","Aphantopus hyperantus",22,"butterflies","malaise traps",749
"1624","W2","Aphantopus hyperantus",22,"butterflies","malaise traps",1016
"1625","WmA5","Aphantopus hyperantus",22,"butterflies","malaise traps",2034
"1626","WmB2","Aphantopus hyperantus",22,"butterflies","malaise traps",1139
"1627","HO1","Aporia crataegi",31.5,"butterflies","malaise traps",828
"1628","HO2","Aporia crataegi",31.5,"butterflies","malaise traps",1046
"1629","H1","Argynnis adippe",29,"butterflies","malaise traps",818
"1630","H2","Argynnis adippe",29,"butterflies","malaise traps",985
"1631","H2","Argynnis aglaja",28,"butterflies","malaise traps",985
"1632","HO4","Argynnis aglaja",28,"butterflies","malaise traps",1546
"1633","W2","Argynnis aglaja",28,"butterflies","malaise traps",1016
"1634","W3","Argynnis aglaja",28,"butterflies","malaise traps",1162
"1635","W5","Argynnis aglaja",28,"butterflies","malaise traps",1446
"1636","WmB3","Argynnis aglaja",28,"butterflies","malaise traps",1418
"1637","H5","Aricia agestis",13.75,"butterflies","malaise traps",1580
"1638","T4","Baccha elongata",9,"hoverflies","malaise traps",644
"1639","H2","Blera fallax",11,"hoverflies","malaise traps",985
"1640","H4","Blera fallax",11,"hoverflies","malaise traps",1326
"1641","H5","Blera fallax",11,"hoverflies","malaise traps",1580
"1642","W2","Blera fallax",11,"hoverflies","malaise traps",1016
"1643","W3","Blera fallax",11,"hoverflies","malaise traps",1162
"1644","WmB1","Blera fallax",11,"hoverflies","malaise traps",962
"1645","H1","Boloria euphrosyne",20.5,"butterflies","malaise traps",818
"1646","H4","Boloria euphrosyne",20.5,"butterflies","malaise traps",1326
"1647","H5","Boloria euphrosyne",20.5,"butterflies","malaise traps",1580
"1648","H6","Boloria euphrosyne",20.5,"butterflies","malaise traps",1807
"1649","HO3","Boloria euphrosyne",20.5,"butterflies","malaise traps",1332
"1650","W2","Boloria euphrosyne",20.5,"butterflies","malaise traps",1016
"1651","W5","Boloria euphrosyne",20.5,"butterflies","malaise traps",1446
"1652","W6","Boloria euphrosyne",20.5,"butterflies","malaise traps",1805
"1653","WmB5","Boloria euphrosyne",20.5,"butterflies","malaise traps",1812
"1654","H6","Boloria pales",18.5,"butterflies","malaise traps",1807
"1655","H4","Boloria thore",20.5,"butterflies","malaise traps",1326
"1656","H5","Boloria thore",20.5,"butterflies","malaise traps",1580
"1657","H4","Boloria titania",21,"butterflies","malaise traps",1326
"1658","HO1","Bombus campestris",16.5,"wild bees","malaise traps",828
"1659","T4","Bombus campestris",16.5,"wild bees","malaise traps",644
"1660","WmB5","Bombus gerstaeckeri",16,"wild bees","malaise traps",1812
"1661","H3","Bombus hortorum",13.5,"wild bees","malaise traps",1106
"1662","H6","Bombus hortorum",13.5,"wild bees","malaise traps",1807
"1663","HO4","Bombus hortorum",13.5,"wild bees","malaise traps",1546
"1664","T1","Bombus hortorum",13.5,"wild bees","malaise traps",716
"1665","T5","Bombus hortorum",13.5,"wild bees","malaise traps",749
"1666","W1","Bombus hortorum",13.5,"wild bees","malaise traps",815
"1667","WmA3","Bombus hortorum",13.5,"wild bees","malaise traps",1423
"1668","WmB1","Bombus hortorum",13.5,"wild bees","malaise traps",962
"1669","WmB2","Bombus hortorum",13.5,"wild bees","malaise traps",1139
"1670","WmB5","Bombus hortorum",13.5,"wild bees","malaise traps",1812
"1671","WmB2","Bombus lapidarius",14,"wild bees","malaise traps",1139
"1672","H2","Bombus lucorum_terrestris",12.5,"wild bees","malaise traps",985
"1673","H3","Bombus lucorum_terrestris",12.5,"wild bees","malaise traps",1106
"1674","H4","Bombus lucorum_terrestris",12.5,"wild bees","malaise traps",1326
"1675","H5","Bombus lucorum_terrestris",12.5,"wild bees","malaise traps",1580
"1676","H6","Bombus lucorum_terrestris",12.5,"wild bees","malaise traps",1807
"1677","H7","Bombus lucorum_terrestris",12.5,"wild bees","malaise traps",1986
"1678","HO1","Bombus lucorum_terrestris",12.5,"wild bees","malaise traps",828
"1679","HO3","Bombus lucorum_terrestris",12.5,"wild bees","malaise traps",1332
"1680","HO4","Bombus lucorum_terrestris",12.5,"wild bees","malaise traps",1546
"1681","HO5","Bombus lucorum_terrestris",12.5,"wild bees","malaise traps",1821
"1682","W1","Bombus lucorum_terrestris",12.5,"wild bees","malaise traps",815
"1683","W2","Bombus lucorum_terrestris",12.5,"wild bees","malaise traps",1016
"1684","W5","Bombus lucorum_terrestris",12.5,"wild bees","malaise traps",1446
"1685","WmA3","Bombus lucorum_terrestris",12.5,"wild bees","malaise traps",1423
"1686","WmB1","Bombus lucorum_terrestris",12.5,"wild bees","malaise traps",962
"1687","WmB2","Bombus lucorum_terrestris",12.5,"wild bees","malaise traps",1139
"1688","H6","Bombus monticola",12.5,"wild bees","malaise traps",1807
"1689","H7","Bombus monticola",12.5,"wild bees","malaise traps",1986
"1690","HO5","Bombus monticola",12.5,"wild bees","malaise traps",1821
"1691","W6","Bombus monticola",12.5,"wild bees","malaise traps",1805
"1692","W7","Bombus monticola",12.5,"wild bees","malaise traps",2017
"1693","WmA3","Bombus monticola",12.5,"wild bees","malaise traps",1423
"1694","WmA4","Bombus monticola",12.5,"wild bees","malaise traps",1770
"1695","W6","Bombus mucidus",14,"wild bees","malaise traps",1805
"1696","H2","Bombus pratorum",11.5,"wild bees","malaise traps",985
"1697","H3","Bombus pratorum",11.5,"wild bees","malaise traps",1106
"1698","H4","Bombus pratorum",11.5,"wild bees","malaise traps",1326
"1699","H5","Bombus pratorum",11.5,"wild bees","malaise traps",1580
"1700","H6","Bombus pratorum",11.5,"wild bees","malaise traps",1807
"1701","HO2","Bombus pratorum",11.5,"wild bees","malaise traps",1046
"1702","HO3","Bombus pratorum",11.5,"wild bees","malaise traps",1332
"1703","HO4","Bombus pratorum",11.5,"wild bees","malaise traps",1546
"1704","W5","Bombus pratorum",11.5,"wild bees","malaise traps",1446
"1705","W6","Bombus pratorum",11.5,"wild bees","malaise traps",1805
"1706","WmA4","Bombus pratorum",11.5,"wild bees","malaise traps",1770
"1707","WmB1","Bombus pratorum",11.5,"wild bees","malaise traps",962
"1708","WmB2","Bombus pratorum",11.5,"wild bees","malaise traps",1139
"1709","WmB3","Bombus pratorum",11.5,"wild bees","malaise traps",1418
"1710","WmB4","Bombus pratorum",11.5,"wild bees","malaise traps",1654
"1711","WmB5","Bombus pratorum",11.5,"wild bees","malaise traps",1812
"1712","W6","Bombus pyrenaeus",10.5,"wild bees","malaise traps",1805
"1713","H5","Bombus sylvestris",15,"wild bees","malaise traps",1580
"1714","WmA4","Bombus sylvestris",15,"wild bees","malaise traps",1770
"1715","H4","Bombus wurflenii",14.5,"wild bees","malaise traps",1326
"1716","H6","Bombus wurflenii",14.5,"wild bees","malaise traps",1807
"1717","W3","Bombus wurflenii",14.5,"wild bees","malaise traps",1162
"1718","WmA2","Bombus wurflenii",14.5,"wild bees","malaise traps",1240
"1719","WmA3","Bombus wurflenii",14.5,"wild bees","malaise traps",1423
"1720","WmB2","Bombus wurflenii",14.5,"wild bees","malaise traps",1139
"1721","WmB4","Bombus wurflenii",14.5,"wild bees","malaise traps",1654
"1722","WmB5","Bombus wurflenii",14.5,"wild bees","malaise traps",1812
"1723","H5","Brachyopa dorsata",7.5,"hoverflies","malaise traps",1580
"1724","HO2","Brachyopa vittata",9.5,"hoverflies","malaise traps",1046
"1725","W6","Brachyopa vittata",9.5,"hoverflies","malaise traps",1805
"1726","WmA3","Brachyopa vittata",9.5,"hoverflies","malaise traps",1423
"1727","H3","Brachypalpus laphriformis",11,"hoverflies","malaise traps",1106
"1728","WmB3","Brachypalpus laphriformis",11,"hoverflies","malaise traps",1418
"1729","H3","Callophrys rubi",14.5,"butterflies","malaise traps",1106
"1730","HO4","Callophrys rubi",14.5,"butterflies","malaise traps",1546
"1731","W5","Callophrys rubi",14.5,"butterflies","malaise traps",1446
"1732","H1","Carterocephalus palaemon",14.5,"butterflies","malaise traps",818
"1733","HO4","Carterocephalus palaemon",14.5,"butterflies","malaise traps",1546
"1734","T4","Carterocephalus palaemon",14.5,"butterflies","malaise traps",644
"1735","T5","Carterocephalus palaemon",14.5,"butterflies","malaise traps",749
"1736","W2","Carterocephalus palaemon",14.5,"butterflies","malaise traps",1016
"1737","W3","Carterocephalus palaemon",14.5,"butterflies","malaise traps",1162
"1738","WmB5","Carterocephalus palaemon",14.5,"butterflies","malaise traps",1812
"1739","H2","Chalcosyrphus piger",12,"hoverflies","malaise traps",985
"1740","H2","Cheilosia albitarsis",8.5,"hoverflies","malaise traps",985
"1741","H3","Cheilosia albitarsis",8.5,"hoverflies","malaise traps",1106
"1742","H4","Cheilosia albitarsis",8.5,"hoverflies","malaise traps",1326
"1743","HO1","Cheilosia albitarsis",8.5,"hoverflies","malaise traps",828
"1744","HO2","Cheilosia albitarsis",8.5,"hoverflies","malaise traps",1046
"1745","T1","Cheilosia albitarsis",8.5,"hoverflies","malaise traps",716
"1746","T5","Cheilosia albitarsis",8.5,"hoverflies","malaise traps",749
"1747","WmA2","Cheilosia albitarsis",8.5,"hoverflies","malaise traps",1240
"1748","WmA3","Cheilosia albitarsis",8.5,"hoverflies","malaise traps",1423
"1749","WmB1","Cheilosia albitarsis",8.5,"hoverflies","malaise traps",962
"1750","WmB2","Cheilosia albitarsis",8.5,"hoverflies","malaise traps",1139
"1751","WmB3","Cheilosia albitarsis",8.5,"hoverflies","malaise traps",1418
"1752","WmB5","Cheilosia albitarsis",8.5,"hoverflies","malaise traps",1812
"1753","H1","Cheilosia canicularis",14,"hoverflies","malaise traps",818
"1754","H2","Cheilosia canicularis",14,"hoverflies","malaise traps",985
"1755","H3","Cheilosia canicularis",14,"hoverflies","malaise traps",1106
"1756","H4","Cheilosia canicularis",14,"hoverflies","malaise traps",1326
"1757","H5","Cheilosia canicularis",14,"hoverflies","malaise traps",1580
"1758","H7","Cheilosia canicularis",14,"hoverflies","malaise traps",1986
"1759","HO1","Cheilosia canicularis",14,"hoverflies","malaise traps",828
"1760","HO2","Cheilosia canicularis",14,"hoverflies","malaise traps",1046
"1761","WmA2","Cheilosia canicularis",14,"hoverflies","malaise traps",1240
"1762","WmA3","Cheilosia canicularis",14,"hoverflies","malaise traps",1423
"1763","WmA4","Cheilosia canicularis",14,"hoverflies","malaise traps",1770
"1764","WmB1","Cheilosia canicularis",14,"hoverflies","malaise traps",962
"1765","WmB2","Cheilosia canicularis",14,"hoverflies","malaise traps",1139
"1766","WmB5","Cheilosia canicularis",14,"hoverflies","malaise traps",1812
"1767","H3","Cheilosia frontalis",7,"hoverflies","malaise traps",1106
"1768","H4","Cheilosia frontalis",7,"hoverflies","malaise traps",1326
"1769","HO2","Cheilosia frontalis",7,"hoverflies","malaise traps",1046
"1770","WmB5","Cheilosia frontalis",7,"hoverflies","malaise traps",1812
"1771","HO2","Cheilosia gigantea",10,"hoverflies","malaise traps",1046
"1772","H1","Cheilosia impressa",7,"hoverflies","malaise traps",818
"1773","WmB1","Cheilosia impressa",7,"hoverflies","malaise traps",962
"1774","WmB2","Cheilosia impressa",7,"hoverflies","malaise traps",1139
"1775","H2","Cheilosia lasiopa",9.5,"hoverflies","malaise traps",985
"1776","H3","Cheilosia lasiopa",9.5,"hoverflies","malaise traps",1106
"1777","WmB1","Cheilosia lasiopa",9.5,"hoverflies","malaise traps",962
"1778","WmA2","Cheilosia latifrons",8,"hoverflies","malaise traps",1240
"1779","WmB2","Cheilosia latifrons",8,"hoverflies","malaise traps",1139
"1780","HO2","Cheilosia loewi",7.5,"hoverflies","malaise traps",1046
"1781","HO4","Cheilosia loewi",7.5,"hoverflies","malaise traps",1546
"1782","WmB1","Cheilosia loewi",7.5,"hoverflies","malaise traps",962
